Last Name,First Name,The costs and risks associated with a sharp fall in the value of sterling outweigh any macroeconomic benefits for the UK of export stimulus due to a weaker currency.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Concerns about government finances and debt sustainability can undermine the reserve currency status of a major currency.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Agree,7,"Sterling depreciation raises inflation which requires monetary tightening.  Interest rates are already rising and now must rise more sharply, with destabilizing effects on households, through mortgage rates, and on leveraged financial intermediaries.",Agree,7,"This happened a century ago with the replacement of the British pound by the US dollar as the world's major reserve currency.  Today there is no obvious alternative to the dollar, but a shift in reserve currency structure remains a possibility albeit unlikely. "
Cochrane,John,Disagree,8,"Both costs and benefits of short-term currency movements are over rated. And what to do about it? Absent a peg with ironclad fiscal commitment, propping up or devaluing the currency is not a wise policy. ",Agree,8,"Concern about debt sustainability can certainly drive currency lower and inflation higher. ""Reserve currency"" status is over-rated. EU governments, and Switzerland too can borrow at similar rates and quantities to US. "
Cornelli,Francesca,Disagree,5,"The depreciation was due to concerns regarding the fiscal policy which will also affect the long run macro effects. In addition, the entire export policy of the UK has to be reassessed following Brexit. ",Uncertain,5,"If the concerns are linked to the feasibility of the fiscal policy (as it is in this case) then I would agree, but it depends on that point of view."
Diamond,Douglas,Uncertain,4,,Agree,5,Future depreciation concerns can become self-fulfilling if confidence is lost.  This may be due to perceived future loose monetary policy or government debt monetization. 
Duffie,Darrell,Agree,6,"It didn't seem to be a managed tradeoff for exports, but rather that it was an unintended adverse fiscal shock that the Bank of England was forced to partially accommodate. The BoE was also left with the task of managing significant spillover risks to financial stability.",Agree,8,"Is this a ""trick question""? Reserve-currency benefits depend on stable prices and a well functioning government securities market, with government bonds that act as a safe haven. Concerns about government finances and debt sustainability clearly don't support those conditions.  "
Eberly,Janice,Agree,7,"Two issues: i) the pound fell endogenously in response to announced fiscal changes, which also have an effect on markets; and ii) any export benefits occur on a longer time scale than the market reaction to fiscal and exchange rate effects.",Agree,8,"The stability and liquidity of a reserve currency rely on relative fiscal and monetary stability, as well as scale, for a global reserve currency."
Gabaix,Xavier,Uncertain,2,,Agree,8,
Goldstein,Itay,Uncertain,6,,Agree,7,
Graham,John,Agree,6,,Agree,8,
Hansen,Lars,Uncertain,8,Exchange rate movements can signal both long term concerns about future government policy and the need for realignment between import and export prices.  The former can be unnecessarily costly in contrast to the latter.  ,Strongly Agree,8,
Harvey,Campbell,Uncertain,10,,Strongly Agree,9,There are two ingredients for a reserve currency: 1) a large economy and 2) a perception that the economy will be relatively stable in the future. Concerns over debt sustainability inject additional uncertainty. It is well known in finance that additional leverage increases risk.
Hirshleifer,David,No Opinion,,,No Opinion,,
Hong,Harrison,Agree,6,Studies of debt crises linked to sharp depreciation depending on how debt is structured. ,Agree,5,Agree with statement theoretically though evidence isn't so clear on this issue.
Jiang,Wei,Did Not Answer,,,Did Not Answer,,
Kaplan,Steven,Uncertain,2,,Agree,5,
Kashyap,Anil,No Opinion,,"I have been a member of the Bank of England Financial Policy Committee and we are in our quiet period, so not appropriate for me to be commenting on this.  ",Agree,3,
Koijen,Ralph,Uncertain,3,,Agree,5,
Kuhnen,Camelia,No Opinion,,,No Opinion,,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Agree,4,,Strongly Agree,4,A key factor underlying a reserve currency is trust. Trust is built upon sound government finances and sound policies. 
Ludvigson,Sydney,Agree,8,Question framed in a potentially misleading way. Currency depreciation in this case appears to be a symptom rather than a cause of economic problems driven by policy missteps that should be the focus of concern,Agree,8,"Lots of factors can come into play (e.g., even if debt sustainability is a concern for the reserve currency, it may be even more of a concern for all the conceivable alternative reserve currencies), but the UK experience and history should at least be instructive "
Maggiori,Matteo,Agree,7,"I think the costs of large and disorderly market moves can be large, especially if systemic financial institution get into trouble as a result. The benefit to the UK of a depreciation is hard to assess (the evidence is mixed in the literature) and probably significantly smaller.",Strongly Agree,10,"A loss of investor confidence in the fiscal commitment of a reserve country to maintaining the real value of its debt repayments is the core threat to the status of that currency. At the core, a reserve currency is a fiscal commitment to providing a safe asset. "
Matvos,Gregor,Uncertain,6,,Agree,7,The much more uncertain but pertinent question is what triggers debt sustainability concerns of sufficient magnitude.  
Moskowitz,Tobias,Did Not Answer,,,Did Not Answer,,
Nagel,Stefan,Agree,6,Getting inflation under control is a main challenge in the current situation and weak sterling makes this more difficult. ,Agree,8,
Parker,Jonathan,Disagree,8,"The value of sterling should decline given changes in inflation and in British economic institutions and growth. While it has overshot due to the BOE's low rates, the external exposures that would amplify this decline into a financial crises do not appear to be present.",Strongly Agree,10,Reserves are held in safe assets.  Safe assets must be safe in times of crisis.  Times of crisis pose fiscal challenges for countries with fiscal imbalances and high debt levels. The debt of a country with little fiscal space to handle crises is not a good reserve asset.
Parlour,Christine,Agree,7,Capital flows much more rapidly than exports. ,Agree,7,Sterling used to be a reserve currency until the size of the economy and the rise of the dollar undermined it.
Philippon,Thomas,Uncertain,3,,Agree,7,
Puri,Manju,Agree,3,,Agree,4,For non-US currencies.
Roberts,Michael,No Opinion,,,No Opinion,,
Sapienza,Paola,Did Not Answer,,,Did Not Answer,,
Seru,Amit,Uncertain,5,Depends.,Uncertain,5,Depends how large the shocks are that lead to these concerns. Certainly true at the corner.
Stambaugh,Robert,Uncertain,1,,Agree,7,
Starks,Laura,Did Not Answer,,,Did Not Answer,,
Stein,Jeremy,Agree,7,,Agree,7,
Stroebel,Johannes,Uncertain,5,,Strongly Agree,7,
Sufi,Amir,Agree,8,,Strongly Agree,8,
Titman,Sheridan,Uncertain,3,,Agree,4,
Van Nieuwerburgh,Stijn,Agree,7,,Strongly Agree,10,"the global safe haven currency has enjoyed extra fiscal capacity over the past three centuries, but that status switches periodically, and high debt is one factor that can make a contry lose that status."
Werner,Ingrid,Uncertain,8,Depends on the horizon.,Uncertain,8,"Depends on which currency, Dollar, Euro, Yen."
Whited,Toni,Disagree,4,,Agree,6,
