Last Name,First Name,High tariffs imposed by the European Union on imports of Russian natural gas would be an effective measure to reduce the flow of revenues to Russia while limiting disruption to supplies to Europe.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,4,"""Effective"" yes, but probably not as effective as complete bans. The exact effect on Europe is also hard to know."
Altonji,Joseph,Uncertain,3,
Auerbach,Alan,Agree,5,
Autor,David,Agree,7,High substitutability of non-Russian and Russian gas means that Russia should bear most of the incidence
Baicker,Katherine,Uncertain,3,
Banerjee,Abhijit,Uncertain,6,
Bertrand,Marianne,Agree,6,
Brunnermeier,Markus,Strongly Agree,8,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,6,
Cutler,David,Agree,5,
Deaton,Angus,Agree,4,
Duffie,Darrell,Agree,3,
Edlin,Aaron,Agree,8,
Eichengreen,Barry,Agree,5,
Einav,Liran,Agree,1,
Fair,Ray,Uncertain,5,
Finkelstein,Amy,Agree,2,
Goldberg,Pinelopi,Disagree,5,"Sanctions have never worked.  And in the present context, the EU would be paying a high price."
Goolsbee,Austan,Uncertain,4,It would hurt them but would also hurt europe. 
Greenstone,Michael,Disagree,4,"near term, tariffs would do little.  there aren't substitutes
longer term phase in would work better"
Hall,Robert,Agree,8,A tariff lowers the net-of-tariff price to the seller and lowers quantity demanded by the buyer.
Hart,Oliver,Agree,6,
Holmström,Bengt,Disagree,6,"If effective means bringing the war to an end, tariffs won’t do it. "
Hoxby,Caroline,Agree,9,
Hoynes,Hilary,Uncertain,6,
Judd,Kenneth,Agree,8,
Kaplan,Steven,Uncertain,1,
Kashyap,Anil,Uncertain,3,Hard to know about the demand elasticity and speed at which adjustments can be made.  
Klenow,Pete,Agree,4,
Levin,Jonathan,Agree,3,
Maskin,Eric,Did Not Answer,,
Nordhaus,William,Agree,8,"High and rising tariffs are clearly the best approach, mainly to avoid quantitative restrictions. "
Obstfeld,Maurice,Agree,5,
Saez,Emmanuel,Agree,6,
Samuelson,Larry,Agree,6,"There is a tradeoff - higher tariffs would be more effective in limiting revenue, but would also pose more disruption."
Scheinkman,José,Agree,7,
Schmalensee,Richard,Disagree,4,"WTO-illegal, may violate contracts, Russian response uncertain. EU economists seem to favor disruption-contingent price caps. "
Shapiro,Carl,Uncertain,7,
Shimer,Robert,Agree,8,
Stock,James,Agree,7,
Thaler,Richard,Uncertain,1,
Udry,Christopher,Strongly Agree,4,
