Last Name,First Name,Concerns about the environmental impact of companies are substantially better resolved by shareholder activism towards management than by regulations or government intervention.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Concerns about diversity, equality and inclusion within companies are substantially better resolved by shareholder activism towards management than by regulations or government intervention.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Disagree,8,"In my view shareholder activism is less effective than regulation or taxation in mitigating environmental harms, but may be helpful if government action is prevented or enfeebled by political opposition.",Disagree,8,My response is the same as to the environmental question.  Shareholder activism is a second-best response that may be helpful when government action is not forthcoming.
Cochrane,John,Disagree,6,"In a completely free market maybe, but activists are protected by extensive regulation of public companies. They also typically represent narrow political groups.  Old school regulation -- under legislation, administrative procedures act, etc -- can work better.",Disagree,5,
Cornelli,Francesca,Disagree,9,Activists tend to focus on one issue and also had mixed success: their strategy pays off only if the market agrees and there is substantial disagreement on what the optimal strategy is,Disagree,9,
Diamond,Douglas,Disagree,4,"If there are large externalities, shareholder activism is ineffective.  Regulation of firm activity would be more effective.  If a carbon tax was the answer, but not feasible, regulation could be the next best intervention.",Uncertain,6,It is unclear if DEI is in need of government intervention.  It has many aspects and it is clear that discrimination is illegal.  Law enforcement is required and regulations coming from laws may be an enforcement mechanism.
Du,Wenxin,Disagree,7,,Disagree,7,
Duffie,Darrell,Strongly Disagree,9,Environmental damage is the sort of externality that is better addressed by regulation. Shareholders have a conflict of interest.,Uncertain,3,
Eberly,Janice,Disagree,5,"In principal, spillovers and other public goods are best addressed with public sector tools applied consistently.  Though companies still market their brands and their reputation to customers and the public, inviting scrutiny of the consistency between behavior and branding.",Disagree,5,
Fama,Eugene,Strongly Disagree,8,A level playing field requires that all firms are subject to the same rules.,Strongly Disagree,7,
Gabaix,Xavier,Disagree,7,"The environment is an externality, so purely private moves won't be enough. On the other hand, before full regulations arrive, it's desirable to experiment in a decentralized manner",Uncertain,5,
Goldstein,Itay,Disagree,8,,Disagree,8,
Graham,John,Disagree,7,,Disagree,7,
Harvey,Campbell,Disagree,5,"For most issues, I believe that shareholders can resolve. However, the question seems to imply 100% shareholder activism and 0% regulation. I believe there is a role for some limited regulation to mitigate the public goods problem.",Agree,5,
Hong,Harrison,Disagree,8,,Uncertain,5,
Jiang,Wei,Disagree,7,,Disagree,6,
Kaplan,Steven,Strongly Agree,9,,Strongly Agree,9,
Kashyap,Anil,Agree,3,,Strongly Agree,5,
Koijen,Ralph,Disagree,5,,Disagree,3,
Kuhnen,Camelia,Disagree,6,,Strongly Disagree,7,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Disagree,7,"Governmental policies / regulations address all companies, and they are better positioned to address negative environmental externalities.",Uncertain,7,
Ludvigson,Sydney,Disagree,8,shareholder maximization and social welfare maximization are not synonymous,Disagree,9,but regulation and government intervention may not work well in practice either
Maggiori,Matteo,Strongly Disagree,8,"There are environmental externalities that private agents do not internalize, either shareholder or managers. Government intervention is necessary",Disagree,6,"Again, it depends whether the concerns are about externalities."
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Did Not Answer,,,Did Not Answer,,
Nagel,Stefan,Disagree,7,,Disagree,7,
Parker,Jonathan,Strongly Disagree,9,"Governments make the laws and in a much better place to correct system-wide externalities. Corporate governance is structured well to maximize social welfare given good regulation, and poorly for replacing regulation.",Disagree,4,"When there is a natural benefit for companies from policies that maximize their employee's talents and talent pool, this should not require shareholder activism, just smart managers. The government should address social goals like societal injustices or redressing past wrongs."
Parlour,Christine,Disagree,7,Externalities are social problems.,Uncertain,6,
Philippon,Thomas,Disagree,7,,Agree,5,
Puri,Manju,No Opinion,,,Uncertain,8,
Roberts,Michael,Disagree,7,,Agree,8,
Sapienza,Paola,Disagree,7,According to M Friedman shareholders would want to “make as much money as possible while conforming to their basic rules of the society.” Rule of society could include rules over reducing pollution as long as the political branch is able to legislate citizens’ consensus.,Uncertain,4,As long as the regulation is the result of a Democratic process. Not sure shareholders should be involved.
Seru,Amit,Disagree,10,,Disagree,10,
Stambaugh,Robert,Disagree,8,,Uncertain,3,
Starks,Laura,Did Not Answer,,,Did Not Answer,,
Stein,Jeremy,Disagree,4,,Disagree,3,
Stroebel,Johannes,Disagree,6,Governments are generally best place to respond to externalities such as carbon emissions!,Uncertain,1,
Titman,Sheridan,Strongly Disagree,8,,Strongly Disagree,8,
Van Nieuwerburgh,Stijn,Disagree,4,Many environmental issues arise from negative external ivies which shareholders have no incentive to internalize.,Agree,5,Corporate stakeholders should decide how to best achieve their DEI goals.  some reporting requirements may be useful.
Whited,Toni,Disagree,1,,No Opinion,,
