Last Name,First Name,"In general, absent any proprietary information, a retail equity investor cannot consistently make accurate predictions about whether the price of an individual stock will rise or fall on a given day.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"In general, absent any proprietary information, a retail equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Strongly Agree,10,"This is certainly true for liquid stocks, although for certain illiquid stocks ""bid-ask bounce"" can generate predictable daily movements (but one cannot profit from these).",Strongly Agree,10,"With equal expected returns, diversification reduces risk and is one of the few ""free lunches"" in economics.  And typical retail investors can't increase their expected returns through stock-picking.  They may benefit from factor exposure but that remains diversified."
Cochrane,John,Strongly Agree,10,"If the average investor (weighted by wealth) could predict the stock to rise, the stock would go up right away. Half of the predictions must be wrong. ",Strongly Agree,10,"Again, the average investor theorem proves this must be true on average. "
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Strongly Agree,8,,Strongly Agree,10,
Du,Wenxin,Strongly Agree,8,,Strongly Agree,8,
Duffie,Darrell,Strongly Agree,9,Market clearing generally implies that the price reflects commonly available information. ,Strongly Agree,9,"From my response to the first question (prices reflect information), for a given return volatility, mean portfolio returns are improved less by stock selection than by levered diversified positions. (Bill Sharpe)"
Eberly,Janice,Strongly Agree,9,,Strongly Agree,9,
Fama,Eugene,Strongly Agree,10,,No Opinion,,Do better is too vague.
Gabaix,Xavier,Agree,8,,Strongly Agree,9,
Goldstein,Itay,Strongly Agree,8,,Agree,8,
Graham,John,Strongly Agree,9,,Strongly Agree,9,
Harvey,Campbell,Agree,9,,Agree,7,"The question is what does ""do better"" mean? The investor might have lottery-like preferences leading to an undiversified portfolio. "
Hong,Harrison,Strongly Agree,6,,Agree,7,
Jiang,Wei,Agree,8,,Agree,8,
Kaplan,Steven,Strongly Agree,10,,Strongly Agree,10,
Kashyap,Anil,Strongly Agree,10,Everyone should have to read Ken French's Presidential Address to the American Finance Association on the perils of active investing.,Strongly Agree,7,Great advice for almost everyone. We should all thank Jack Bogle
Koijen,Ralph,Did Not Answer,,,Did Not Answer,,
Kuhnen,Camelia,Strongly Agree,10,,Strongly Agree,10,
Lo,Andrew,Strongly Agree,10,"The competition in this endeavor, just among the top 10 investment banks, is intense, not to mention the hedge-fund industry, so retail investors don't have a chance.",Strongly Agree,10,"The historical data are pretty clear on this point, especially over investment periods longer than a few years. Obviously, within shorter samples, anything can happen."
Lowry,Michelle,Strongly Agree,8,,Strongly Agree,8,
Ludvigson,Sydney,No Opinion,,,Agree,8,
Maggiori,Matteo,Did Not Answer,,,Did Not Answer,,
Matvos,Gregor,Strongly Agree,9,,Strongly Agree,9,
Moskowitz,Tobias,Strongly Agree,10,"Forecasting daily returns is extremely difficult since daily price changes are dominated by news and noise, which are both unpredictable. ",Strongly Agree,10,I’m assuming by “better” we mean on a risk-adjusted basis or for cumulative wealth. Holding a well-diversified portfolio at the same expected return is better for accumulating wealth over long horizons. A single stock with the same return and much higher vol. is worse. 
Nagel,Stefan,Strongly Agree,9,,Strongly Agree,9,
Parker,Jonathan,Strongly Agree,9,"There is some predictability in a stock's return at longer horizons, but a retail investor cannot consistently predict stock movements day to day. The vast majority of day to day stock price movements are unpredictable even to experts with proprietary information. ",Strongly Agree,10,
Parlour,Christine,Agree,8,,Agree,8,
Philippon,Thomas,Strongly Agree,9,,Strongly Agree,9,
Puri,Manju,Strongly Agree,9,,Strongly Agree,9,
Roberts,Michael,Strongly Agree,9,,Strongly Agree,9,
Sapienza,Paola,Agree,10,,Agree,10,
Seru,Amit,Strongly Agree,7,,Strongly Agree,7,
Stambaugh,Robert,Strongly Agree,10,,Strongly Agree,9,
Starks,Laura,Agree,5,,Agree,5,
Stein,Jeremy,Strongly Agree,9,,Strongly Agree,9,
Stroebel,Johannes,Agree,10,,Strongly Agree,10,
Titman,Sheridan,Agree,9,,Agree,9,
Van Nieuwerburgh,Stijn,Strongly Agree,8,ample empirical evidence that retail investors systematically underperform,Strongly Agree,9,
Whited,Toni,Strongly Agree,1,,Strongly Agree,1,
