Last Name,First Name,The impact of the Covid-19 pandemic on working and shopping habits has not been fully priced into current private valuations of downtown commercial properties in major cities.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,A continued fall in commercial real estate valuations would trigger another round of banking panic.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Agree,6,"Private valuations often lag market conditions, which have been strongly negative since the Covid-19 pandemic altered office working practices.",Uncertain,2,"While banks have significant exposure to commercial real estate, banking panic is extremely hard to predict especially in light of policy responses to restore confidence."
Cochrane,John,Disagree,7,"Most commercial real estate problems are not due to pandemic per se, but subsequent policies. Pandemic didn't cause crime. ""Not priced in"" is weird. Prices are low, and few buying. The effects on rents and debt are rolling in. Prices that ignore information are not central.",Uncertain,6,"First ""price"" now ""valuation."" Different items. Questions fixation on prices is strange. No rents, empty buildings, laws forbidding conversion, defaults are a big problem. ""Valuation"" less so. You go bankrupt when you run out of cash. "
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Agree,4,,Disagree,5,Much of the exposure is in smaller banks with insured deposits primarily. 
Duffie,Darrell,Uncertain,7,"How inefficient is this market? Probably not very inefficient, but I'm not confident about that.",Uncertain,6,
Eberly,Janice,Disagree,8,"Available private valuations show a markdown of CRE assets, especially among the worst performing in office and retail.  Some assets still have stale prices or are held in opaque ways, so the repricing is not always available or visible.",Disagree,6,"Commercial real estate is a broad class. The concentration and pricing of the worst CRE assets across banks is opaque. There could be distress if the sector (and the economy) worsen, especially as margins tighten with higher funding costs and legacy low rate assets."
Gabaix,Xavier,Did Not Answer,,,Did Not Answer,,
Goldstein,Itay,Agree,6,,Uncertain,6,
Graham,John,Agree,4,,Disagree,6,
Harvey,Campbell,Agree,8,The answer depends on the city. CMBS spreads are very wide and vacancy rates are rising with San Francisco having an eye-opening 35% commercial vacancy rate. Many of these properties are being carried on the books at unrealistically high values.,Agree,8,I believe the banking system is far more vulnerable than the Fed would lead us to believe. It is a red flag that my TBTF bank can only pay 2 bps annual rate on my savings deposit. CRE + problems created by higher long rates = trouble. The private loan market is vulnerable too. 
Hirshleifer,David,Uncertain,1,,Uncertain,1,
Hong,Harrison,Did Not Answer,,,Did Not Answer,,
Jiang,Wei,Agree,5,,Strongly Agree,7,
Kaplan,Steven,Uncertain,3,,Uncertain,4,
