Last Name,First Name,It is appropriate advice for retail investors to tilt their portfolio away from the market portfolio towards factors that have been identified in the academic literature to earn positive abnormal returns relative to the Capital Asset Pricing Model.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Agree,7,"I agree that certain tilts are advantageous.  Most importantly, any investor who would otherwise hold cash and the index is better off holding less cash and more low-beta stocks to exploit the low-beta anomaly."
Cochrane,John,Disagree,10,"CAPM assumes one-period mean-variance objective, no outside income, and wealth is the market portfolio. So yes, many investors should deviate. But it's a zero sum game. Market=average investor portfolio. Not obvious that typical investor should long vs short anomalies. "
Cornelli,Francesca,Did Not Answer,,
Diamond,Douglas,Agree,4,
Du,Wenxin,Strongly Disagree,7,
Duffie,Darrell,Agree,10,"I agree with the idea, but with many caveats. CAPM is a static model-a straw man. And, far from all ""factors that have been identified in the academic literature"" to earn positive returns relative to CAPM are effective tilts. But some probably are effective."
Eberly,Janice,Uncertain,7,"Fees could overcome any abnormal return expected by retail investors. In addition, the strategy may have liquidity or other factors not transparent in the research literature that add risk or complexity for retail investors."
Fama,Eugene,Disagree,8,
Gabaix,Xavier,Agree,7,
Goldstein,Itay,Uncertain,5,
Graham,John,Disagree,8,
Harvey,Campbell,Agree,8,"Any investor can earn extra expected returns by tilting towards additional sources of risk. The challenge is identifying these sources of risk. Further, where will the retail investor seek reliable “advice”? So, for most retail investors, it is best to go with index funds. "
Hong,Harrison,Did Not Answer,,
Jiang,Wei,Disagree,7,
Kaplan,Steven,Uncertain,4,"Depends on many factors, including fees."
Kashyap,Anil,Uncertain,7,"which part of the factor zoo?   so many factors, so little time... "
Koijen,Ralph,Agree,5,"Someone needs to be on the other side though. Hence, it depends on the beliefs, sentiment, risk exposures, and preferences of retail investors to determine their optimal portfolio. There is also implementation risk if ETFs, say, dont closely follow the factors in the literature. "
Kuhnen,Camelia,Uncertain,7,
Lo,Andrew,Did Not Answer,,
Lowry,Michelle,Agree,7,
Ludvigson,Sydney,Disagree,7,
Maggiori,Matteo,Agree,5,"Especially if the ""market portfolio"" is in practice proxied by a broad equity index"
Matvos,Gregor,Uncertain,9,There is a good chance that such advice will steer retail investors away from passive investments in low fee and well diversified index funds. In that case retail may be worse off even if there are potential gains from the portfolio tilt. 
Moskowitz,Tobias,Uncertain,10,"This is an ill-posed question.  Not everyone can tilt away from the market portfolio by definition.  So, it has to be the case that for some investors it makes sense and for others it does not.  Whether it makes sense depends on risk appetite, liquidity needs, etc.  Cannot answer"
Nagel,Stefan,Agree,8,But only through low-cost investment vehicles 
Parker,Jonathan,Uncertain,7,"The theory is clear. Investors should hold portfolios for which the C-CAPM holds with respect to their standard of living or marginal utility. If the factors help do this great. If not, then ignore them.  "
Parlour,Christine,Did Not Answer,,
Philippon,Thomas,Disagree,7,
Puri,Manju,Agree,7,
Roberts,Michael,Agree,9,
Sapienza,Paola,Did Not Answer,,
Seru,Amit,Strongly Disagree,7,
Stambaugh,Robert,Uncertain,8,It's probably appropriate only if most investors don't take that advice.
Starks,Laura,Did Not Answer,,
Stein,Jeremy,Uncertain,4,
Stroebel,Johannes,Did Not Answer,,
Titman,Sheridan,Agree,7,
Van Nieuwerburgh,Stijn,Agree,7,"Retail investors may want to earn higher return, even if that involves exposure to factor risk. Of course, even better if the higher return does not reflect extra risk"
Whited,Toni,Uncertain,1,
