Last Name,First Name,"With some measures of concentration by market capitalization within broad US stock market indices at an all-time high, investors seeking a well-diversified passive equity portfolio should consider alternatives to market-cap-weighted indices.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Agree,7,"To approximate a value-weighted portfolio of all wealth, one should overweight public assets that are similar to private assets - such as small firms.  This is not because of concentration in the public indices per se, but because some assets are missing from public markets."
Cochrane,John,Disagree,8,"The average investor holds the market-cap weighted market portfolio. Period. Anything else is a zero-sum game. You'd better hope you're smarter than the person on the other side who thinks he's smarter than you. Or, more reasonably, have different risk exposures. "
Cornelli,Francesca,Did Not Answer,,
Diamond,Douglas,Disagree,8,"The entire point of indexing is respecting market valuation.   Absent other information about returns, I see no reason to move from market weights just because of concentration.  "
Du,Wenxin,Uncertain,7,"relative performance of stock returns across countries is notoriously difficult to forecast, e.g., Japanese equities continued to outperform for two decades in 70s-80s.  "
Duffie,Darrell,Disagree,8,"It's not obvious one way or the other, but I am not aware of evidence of the suggested benefit. Moreover, the market equilibrium might be weird and highly inefficient if the majority of diversified investors stray far from market-cap weighted portfolios."
Eberly,Janice,Disagree,8,"For diversification, value weights capture the whole market, at least among market-traded assets."
Fama,Eugene,Strongly Disagree,9,
Gabaix,Xavier,Disagree,8,"To avoid the idiosyncratic risk of the top 10 stocks, you can just use an ""S&P 500 - 10"", i.e. the S&P 500 minus the top 10 stocks. It's still market-cap weighted, so avoids rebalancing costs.  Now the shocks to the top 10 firms shouldn't be avoided -- they're part of total risk."
Goldstein,Itay,Agree,6,
Graham,John,Agree,8,
Harvey,Campbell,Agree,8,"If there is any deviation from fair prices, weighting by capitalization means you overinvest in overvalued stocks and underinvest in undervalued stocks - by definition. Deviation from cap-weight is a bet on market inefficiency. There are relatively passive (ETF) ways to do this."
Hirshleifer,David,Did Not Answer,,
Hong,Harrison,Uncertain,7,Limited historical episodes of extreme market concentration and excess predictability
Jiang,Wei,Agree,7,
Kaplan,Steven,Uncertain,7,
Kashyap,Anil,Disagree,3,
Koijen,Ralph,Disagree,5,
Kuhnen,Camelia,Agree,7,
Lo,Andrew,Did Not Answer,,
Lowry,Michelle,Agree,7,
Ludvigson,Sydney,Uncertain,9,"As a rough approximation if we suppose that the “magnificent 7” and a relatively small number of other stocks proxy for market volatility, then the answer to the question would seem to depend on whether firm-specific volatility among the remaining stocks has gone up or down"
Maggiori,Matteo,Disagree,4,"The market portfolio is what it is. More or less concentrated. So unless the indexes are not representative of the true market portfolio, why deviate? There is also a difference between partial equilibrium and general equilibrium...we cant all deviate the same way and still clear"
Matvos,Gregor,Did Not Answer,,
Moskowitz,Tobias,Disagree,9,"Theory tells you that market cap weights are the most passive and best approach (also true from a trading cost perspective). Also, depends on what is meant by ""passive"". If passive means everyone can hold it simultaneously, then market cap is the only passive. "
Nagel,Stefan,Disagree,9,
Parker,Jonathan,Strongly Disagree,8,The Two-Fund Separation Theorem
Parlour,Christine,Did Not Answer,,
Philippon,Thomas,Uncertain,1,"in general no, but exposure to same underlying technology could justify down-weighting the top 5"
Puri,Manju,Did Not Answer,,
Roberts,Michael,Uncertain,7,
Sapienza,Paola,Disagree,3,"Top 7 stocks account for the majority of returns + represent over 30% of the index. Unlike previous episodes (tech bubble)these firms are highly profitable, have lots of cash and high expected growth. Reweigh tilts toward smaller stocks (weaker growth). Not for passive investors."
Seru,Amit,Strongly Disagree,5,
Stambaugh,Robert,Agree,9,"Quite possibly, yes, for investors seeking a ""well-diversified"" portfolio.  The classic argument for holding the market portfolio (i.e., the CAPM) is that it's a mean-variance efficient portfolio, whether or not it's a well-diversified portfolio."
Starks,Laura,Did Not Answer,,
Stein,Jeremy,Agree,8,
Stroebel,Johannes,Agree,1,"I guess they should consider it, though not sure what they would conclude. It depends on their objective. "
Sufi,Amir,Did Not Answer,,
Titman,Sheridan,Uncertain,10,"The question is confusing.  I think that investors should consider alternative portfolios, but this does not mean that they should necessarily under weight the largest stocks.  Maybe they should -- but maybe not."
Van Nieuwerburgh,Stijn,Disagree,7,"As firm values fluctuate, the vw portfolio automatically rebalances and reflects the importance of each stock in the overall market portfolio."
Whited,Toni,Uncertain,1,
