Last Name,First Name,Selecting candidates for membership of the Federal Open Market Committee (FOMC) based primarily on their political views would lead to worse monetary policy outcomes than has been the case over the last 15 years.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,6,"Absolutely. But we should also worry about other things, including links to the financial industry."
Alesina,Alberto,Strongly Agree,10,
Altonji,Joseph,Strongly Agree,8,
Auerbach,Alan,Agree,7,
Autor,David,Strongly Agree,8,Monetary policy has an important public mission -- and it's not about electoral politics
Baicker,Katherine,Strongly Agree,3,
Banerjee,Abhijit,Agree,6,
Bertrand,Marianne,Strongly Agree,4,
Brunnermeier,Markus,Strongly Agree,8,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,4,
Cutler,David,Strongly Agree,5,
Deaton,Angus,Agree,8,
Duffie,Darrell,Strongly Agree,10,"""primarily"" political implies (a) lower priority on skill at monetary policy, (b) could place weight on political over economic outcomes."
Edlin,Aaron,Strongly Agree,7,Helping a party is different from helping the country.
Eichengreen,Barry,Strongly Agree,10,
Einav,Liran,Agree,1,
Fair,Ray,Agree,5,
Finkelstein,Amy,Did Not Answer,,
Goolsbee,Austan,Strongly Agree,10,"Politicizing the media, the Congress and the Supreme Court has worked out so well, why not do  the same for the economy?"
Greenstone,Michael,Strongly Agree,8,
Hall,Robert,Agree,7,The obvious danger is an unwise monetary expansion timed to win an election. 
Hart,Oliver,Strongly Agree,8,
Holmström,Bengt,Strongly Agree,7,
Hoxby,Caroline,Did Not Answer,,
Hoynes,Hilary,Strongly Agree,10,
Judd,Kenneth,Strongly Agree,10,
Kaplan,Steven,Uncertain,3,Current appointees are appointed based on their views.  I.e.. Democratic president appoint Democrats.  Republican presidents do the same.
Kashyap,Anil,Strongly Agree,10,Primarily is key here. Diversity of thought & experience is good; picking central bankers because of political fielty is a very bad idea 
Klenow,Pete,Strongly Agree,7,
Levin,Jonathan,Agree,5,
Maskin,Eric,Agree,7,"Good monetary policy  is largely technocratic, not political"
Nordhaus,William,Strongly Agree,9,
Obstfeld,Maurice,Strongly Agree,10,Sound central bank policy requires a long-term perspective that is insulated from electoral-cycle pressures.
Saez,Emmanuel,Strongly Agree,6,
Samuelson,Larry,Strongly Agree,8,The Fed derives its strength from its apolitical nature.  A politicized Fed will not be nearly as effective.
Scheinkman,José,Strongly Agree,8,
Schmalensee,Richard,Strongly Agree,7,
Shapiro,Carl,Strongly Agree,10,
Shimer,Robert,Strongly Agree,10,Independence of the central bank is the cornerstone of good monetary policy.
Stock,James,Strongly Agree,8,
Thaler,Richard,Strongly Agree,9,This is the annual question used to determine whether respondents are sentient. Hoping I pass. 
Udry,Christopher,Agree,3,
